	Client ID	Receiving Income (Entry)	Income Source (Entry)	Monthly Amount (Entry)	Income Start Date (Entry)	Income End Date (Entry)	Provider (140-provider)_x	ReceivingIncome (Exit)	Source of Income (Exit)	Monthly Amount (Exit)	Income Start Date (Exit)	Income End Date (Exit)	Provider (140-provider)_y
19	393111	No	Alimony or Other Spousal Support (HUD)		2/17/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		2/17/2015		Urban Ministries of Durham - Durham County(1562)
20	379956	No	Alimony or Other Spousal Support (HUD)		9/23/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		9/23/2014		Urban Ministries of Durham - Durham County(1562)
21	397202	No	Alimony or Other Spousal Support (HUD)		4/5/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		4/5/2015		Urban Ministries of Durham - Durham County(1562)
22	251488	No	Alimony or Other Spousal Support (HUD)		5/5/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		5/5/2014		Urban Ministries of Durham - Durham County(1562)
23	395541	No	Alimony or Other Spousal Support (HUD)		3/20/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		3/20/2015		Urban Ministries of Durham - Durham County(1562)
24	381870	No	Alimony or Other Spousal Support (HUD)		10/13/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		10/13/2014		Urban Ministries of Durham - Durham County(1562)
25	392383	No	Alimony or Other Spousal Support (HUD)		2/4/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		2/4/2015		Urban Ministries of Durham - Durham County(1562)
26	318262	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
27	381470	No	Alimony or Other Spousal Support (HUD)		3/23/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		3/23/2015		Urban Ministries of Durham - Durham County(1562)
28	309651	No	Alimony or Other Spousal Support (HUD)		6/5/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		6/5/2015		Urban Ministries of Durham - Durham County(1562)
29	333120	No	Alimony or Other Spousal Support (HUD)		12/31/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		12/31/2014		Urban Ministries of Durham - Durham County(1562)
30	373187	No	Alimony or Other Spousal Support (HUD)		7/16/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		7/16/2014		Urban Ministries of Durham - Durham County(1562)
31	362567	No	Alimony or Other Spousal Support (HUD)		1/27/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		1/27/2015		Urban Ministries of Durham - Durham County(1562)
32	158414	No	Alimony or Other Spousal Support (HUD)		7/18/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		7/18/2014		Urban Ministries of Durham - Durham County(1562)
33	401630	No	Alimony or Other Spousal Support (HUD)		6/8/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		6/8/2015		Urban Ministries of Durham - Durham County(1562)
34	401763	No	Alimony or Other Spousal Support (HUD)		6/4/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		6/4/2015		Urban Ministries of Durham - Durham County(1562)
35	314853	No	Alimony or Other Spousal Support (HUD)		4/13/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		4/13/2015		Urban Ministries of Durham - Durham County(1562)
36	400077	No	Alimony or Other Spousal Support (HUD)		5/18/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		5/18/2015		Urban Ministries of Durham - Durham County(1562)
37	386115	No	Alimony or Other Spousal Support (HUD)		11/18/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		11/18/2014		Urban Ministries of Durham - Durham County(1562)
38	399904	No	Alimony or Other Spousal Support (HUD)		5/13/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		5/13/2015		Urban Ministries of Durham - Durham County(1562)
39	394031	No	Other (HUD)		3/3/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Other (HUD)		3/3/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
40	402258	No	Alimony or Other Spousal Support (HUD)		6/15/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		6/15/2015		Urban Ministries of Durham - Durham County(1562)
41	403050	No	Alimony or Other Spousal Support (HUD)		6/23/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		6/23/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
42	383149	No	Alimony or Other Spousal Support (HUD)		10/1/2014		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		10/1/2014		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
43	387590	No	Alimony or Other Spousal Support (HUD)		12/8/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		12/8/2014		Urban Ministries of Durham - Durham County(1562)
44	224787	No	Alimony or Other Spousal Support (HUD)		6/22/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		6/22/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
45	225552	No	Alimony or Other Spousal Support (HUD)		7/13/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)	No	Alimony or Other Spousal Support (HUD)		7/13/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)
46	392386	No	Alimony or Other Spousal Support (HUD)		2/4/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		2/4/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
47	262238	No	Alimony or Other Spousal Support (HUD)		4/13/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		4/13/2015		Urban Ministries of Durham - Durham County(1562)
48	384147	No	Alimony or Other Spousal Support (HUD)		10/29/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		10/29/2014		Urban Ministries of Durham - Durham County(1562)
49	361597	No	Alimony or Other Spousal Support (HUD)		5/12/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		5/12/2015		Urban Ministries of Durham - Durham County(1562)
50	365130	No	Alimony or Other Spousal Support (HUD)		4/24/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		4/24/2014		Urban Ministries of Durham - Durham County(1562)
51	382672	No	Alimony or Other Spousal Support (HUD)		10/20/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		10/20/2014		Urban Ministries of Durham - Durham County(1562)
52	397312	No	Alimony or Other Spousal Support (HUD)		4/13/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		4/13/2015		Urban Ministries of Durham - Durham County(1562)
53	156978	No	Alimony or Other Spousal Support (HUD)		12/8/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		12/8/2014		Urban Ministries of Durham - Durham County(1562)
54	398931	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
55	399459	No	Alimony or Other Spousal Support (HUD)		5/8/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		5/8/2015		Urban Ministries of Durham - Durham County(1562)
56	384776	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
57	333631	No	Alimony or Other Spousal Support (HUD)		2/11/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		2/11/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
58	166457	No	Alimony or Other Spousal Support (HUD)		3/25/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/25/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
59	219392	No	Alimony or Other Spousal Support (HUD)		5/4/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		5/4/2015		Urban Ministries of Durham - Durham County(1562)
60	397427	No	Alimony or Other Spousal Support (HUD)		4/14/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/14/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
61	187276	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
62	217836	No	Alimony or Other Spousal Support (HUD)		11/13/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		11/13/2014		Urban Ministries of Durham - Durham County(1562)
63	190759	No	Alimony or Other Spousal Support (HUD)		4/14/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		4/14/2015		Urban Ministries of Durham - Durham County(1562)
64	397646	No	Alimony or Other Spousal Support (HUD)		4/16/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/16/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
65	402256	No	Alimony or Other Spousal Support (HUD)		6/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		6/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
66	296887	No	Alimony or Other Spousal Support (HUD)		1/14/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		1/14/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
67	381763	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
68	195489	No	Alimony or Other Spousal Support (HUD)		4/21/2012		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		4/21/2012		Urban Ministries of Durham - Durham County(1562)
69	143061	No	Alimony or Other Spousal Support (HUD)		11/28/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		11/28/2014		Urban Ministries of Durham - Durham County(1562)
70	399250	No	Alimony or Other Spousal Support (HUD)		5/6/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/6/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
71	406857	No	Alimony or Other Spousal Support (HUD)		8/3/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)	No	Alimony or Other Spousal Support (HUD)		8/3/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)
72	162076	No	Alimony or Other Spousal Support (HUD)		5/11/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/11/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
73	208663	No	Alimony or Other Spousal Support (HUD)		4/21/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/21/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
74	402257	No	Alimony or Other Spousal Support (HUD)		6/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		6/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
75	407754	No	Alimony or Other Spousal Support (HUD)		8/10/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)	No	Alimony or Other Spousal Support (HUD)		8/10/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)
76	407001	No	Alimony or Other Spousal Support (HUD)		8/4/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)	No	Alimony or Other Spousal Support (HUD)		8/4/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)
77	405094	No	Alimony or Other Spousal Support (HUD)		7/15/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		7/15/2015		Urban Ministries of Durham - Durham County(1562)
78	319129	No	Alimony or Other Spousal Support (HUD)		6/23/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		6/23/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
79	406576	No	Alimony or Other Spousal Support (HUD)		7/28/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)	No	Alimony or Other Spousal Support (HUD)		7/28/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)
80	330427	No	Alimony or Other Spousal Support (HUD)		6/1/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)	No	Alimony or Other Spousal Support (HUD)		6/1/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)
81	10107	No	Alimony or Other Spousal Support (HUD)		7/30/2014		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		7/30/2014		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
82	167439	No	Alimony or Other Spousal Support (HUD)		4/19/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		4/19/2014		Urban Ministries of Durham - Durham County(1562)
83	203783	Yes	Earned Income (HUD)	1000.0	11/8/2012		Urban Ministries of Durham - Durham County(1562)	Yes	Earned Income (HUD)	1000.0	11/8/2012		Urban Ministries of Durham - Durham County(1562)
84	351504	No	Alimony or Other Spousal Support (HUD)		7/27/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)	No	Alimony or Other Spousal Support (HUD)		7/27/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)
85	167911	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/15/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
